time,seconds_elapsed,brightness
1686154173656000000,1.012,0.09803921729326248
1686154174609000000,1.965,0.09803921729326248
1686154647397000000,474.753,0.09803921729326248
1686154648350000000,475.7060002441406,0.09803921729326248
1686155840748000000,1668.104,0.09803921729326248
1686156039441000000,1866.797,0.09803921729326248
1686156040385000000,1867.741,0.09803921729326248
1686156088766000000,1916.1220002441407,0.09803921729326248
1686156089722000000,1917.0779997558593,0.09803921729326248
1686156090671000000,1918.027,0.09803921729326248
1686156091642000000,1918.9979997558594,0.09803921729326248
1686156092609000000,1919.965,0.09803921729326248
1686156093578000000,1920.9339997558593,0.09803921729326248
1686156094548000000,1921.904,0.09803921729326248
1686156369101000000,2196.457,0.09803921729326248
1686157213109000000,3040.465,0.09803921729326248
